"item","itemLabel","itemDescription"
"http://www.wikidata.org/entity/Q1185478","Ernest Lawson","American painter (1873-1939)"
"http://www.wikidata.org/entity/Q1209700","Dick Higgins","English composer and poet (1938-1998)"
"http://www.wikidata.org/entity/Q1241597","Joseph Höger","Austrian painter"
"http://www.wikidata.org/entity/Q1247148","Lucas Faydherbe","Flemish sculptor and architect"
"http://www.wikidata.org/entity/Q1253953","Heinrich Kautsch","Austrian sculptor (1859-1943)"
"http://www.wikidata.org/entity/Q1254856","Everett Shinn","American artist (1876-1953)"
"http://www.wikidata.org/entity/Q1273122","Sam Taylor-Johnson","British film director"
"http://www.wikidata.org/entity/Q1263693","Paul Outerbridge","American photographer (1896-1958)"
"http://www.wikidata.org/entity/Q1268743","Giulio della Torre","Italian sculptor"
"http://www.wikidata.org/entity/Q1273998","Norman Lindsay","Australian artist (1879-1969)"
"http://www.wikidata.org/entity/Q1282804","Hans Lencker","German artist, 1523-1585"
"http://www.wikidata.org/entity/Q1284772","Tracey Moffatt","Australian photographer, artist and filmmaker"
"http://www.wikidata.org/entity/Q1288135","Willy Jaeckel","German painter and lithographer (1888-1944)"
"http://www.wikidata.org/entity/Q1288454","Vik Muniz","Brazilian photographer and sculptor"
"http://www.wikidata.org/entity/Q1306908","Master of the Drapery Studies","German painter and draughtsman"
"http://www.wikidata.org/entity/Q1308730","Thomas Hope","Dutch-British writer, designer and architect (1769-1831)"
"http://www.wikidata.org/entity/Q1319924","Master of the Griselda Legend","Italian painter"
"http://www.wikidata.org/entity/Q1328382","Gustav Kluge","German painter"
"http://www.wikidata.org/entity/Q1337730","Johann Jakob Frey","Swiss painter (1813-1865)"
"http://www.wikidata.org/entity/Q1339913","Giuseppe Girometti","Italian gem engraver and medallist (1780-1851)"
"http://www.wikidata.org/entity/Q1347434","Jacob de Gheyn II","Dutch painter and engraver (c.1565-1629)"
"http://www.wikidata.org/entity/Q1355414","Robert Cottingham","American artist"
"http://www.wikidata.org/entity/Q1351444","Jan Hackaert","Dutch painter (1628-1685)"
"http://www.wikidata.org/entity/Q1354027","Paul Huet","French painter (1803-1869)"
"http://www.wikidata.org/entity/Q1355408","Lucas van Uden","Flemish painter (1595-1672)"
"http://www.wikidata.org/entity/Q1378807","Thomas Dewing","American artist (1851-1938)"
"http://www.wikidata.org/entity/Q1386877","Max Seliger","German painter (1865-1920)"
"http://www.wikidata.org/entity/Q1403424","Felix Droese","German artist"
"http://www.wikidata.org/entity/Q1390942","Richard Caton Woodville, Sr.","American painter, father of Richard Caton Woodville, Jr. (posthumous) (1825-1855)"
"http://www.wikidata.org/entity/Q1393359","Mateo Cerezo","Spanish artist (1637-1666)"
"http://www.wikidata.org/entity/Q1397817","Ventura Salimbeni","Italian painter (1568-1613)"
"http://www.wikidata.org/entity/Q1409019","Bertrand Lavier","French architect and plastician"
"http://www.wikidata.org/entity/Q1440305","Fra Galgario","Lombard painter (1655-1743)"
"http://www.wikidata.org/entity/Q1449653","Franz Xavier Karl Palko","painter from Poland (1724-1767)"
"http://www.wikidata.org/entity/Q1460214","Friedrich Karl Gotsch","German painter (1900-1984)"
"http://www.wikidata.org/entity/Q1461580","Friedrich Preller the Elder","German painter and engraver (1804-1878)"
"http://www.wikidata.org/entity/Q1476596","Henry Corbould","British artist (1787-1844)"
"http://www.wikidata.org/entity/Q1489306","Gabriel Huquier","French art dealer"
"http://www.wikidata.org/entity/Q1479447","Félix Buhot","French painter (1847-1898)"
"http://www.wikidata.org/entity/Q1479490","Felix Henri Giacomotti","French painter (1828-1909)"
"http://www.wikidata.org/entity/Q1491011","Gaetano Gandolfi","painter (1734-1802)"
"http://www.wikidata.org/entity/Q1494309","Alphonse-Marie-Adolphe de Neuville","French painter (1835-1885)"
"http://www.wikidata.org/entity/Q1500370","William Blanchard Jerrold","British journalist (1826-1884)"
"http://www.wikidata.org/entity/Q1504630","Georg Heinrich Busse","German artist (1810-1868)"
"http://www.wikidata.org/entity/Q1525753","Giovanni Antonio da Brescia","Italian painter (1460-1523)"
"http://www.wikidata.org/entity/Q1553935","Guillaume Voiriot","French painter (1713-1799)"
"http://www.wikidata.org/entity/Q1558986","Alfred Ritter von Franck","Austrian painter (1808-1884)"
"http://www.wikidata.org/entity/Q1581560","Hans Orlowski","German painter (1894-1967)"
"http://www.wikidata.org/entity/Q1608030","Louis-Simon Boizot","French artist (1743-1809)"
"http://www.wikidata.org/entity/Q1616131","William Home Lizars","Scottish painter and engraver (1788-1859)"
"http://www.wikidata.org/entity/Q1627141","Belbello da Pavia","Italian painter and illuminator"
"http://www.wikidata.org/entity/Q1644600","Louis-Pierre Baltard","French architect and engraver (1764-1846)"
"http://www.wikidata.org/entity/Q1293014","Sylvia Plachy","Hungarian-American photographer"
"http://www.wikidata.org/entity/Q933026","Giuseppe Cesari","Italian Mannerist painter (1568–1640)"
"http://www.wikidata.org/entity/Q477373","Robert Barry","American artist"
"http://www.wikidata.org/entity/Q474934","Cornelis de Vos","Flemish painter"
"http://www.wikidata.org/entity/Q477409","Markus Raetz","Swiss artist (1941-2020)"
"http://www.wikidata.org/entity/Q485334","Giuseppe Bernardino Bison","Italian painter (1762-1844)"
"http://www.wikidata.org/entity/Q499934","Barthel Beham","German painter and engraver (1502-1540)"
"http://www.wikidata.org/entity/Q505017","Ernest Thompson Seton","British/American author, artist and naturalist, and one of the founders of the scouting movement"
"http://www.wikidata.org/entity/Q513815","Wallerant Vaillant","painter from the Northern Netherlands (1623-1677)"
"http://www.wikidata.org/entity/Q515222","Frederik de Moucheron","painter from the Northern Netherlands (1633-1686)"
"http://www.wikidata.org/entity/Q515553","Jan van Kessel the Elder","Flemish painter (1626–1679)"
"http://www.wikidata.org/entity/Q515839","Peter Henry Emerson","British writer and photographer"
"http://www.wikidata.org/entity/Q518767","Cornelis Bloemaert","Dutch Golden Age painter and engraver (1603–1692)"
